Index_1,Index_2,MSE_ratio
4,5,1.0
13,15,1.00023946426
16,22,1.00019518462
16,2,1.00024437167
3,13,1.0001715762
20,6,1.0001715762
16,14,1.0001715762
16,23,1.66837825354
6,7,1.66837825354
22,23,1.66837825354
2,13,1.66861626529
16,3,1.96815962463
8,9,1.96815962463
9,18,1.96815962463
13,22,1.96837873663
1,12,2.38412375513
16,15,2.38426942046
10,23,2.38426942046
8,15,2.38381035472
19,23,2.38381035472
12,5,2.38348142611
19,15,2.38348142611
0,5,2.38426619393
10,3,2.74170257099
9,23,2.74170257099
2,18,2.74170257099
20,5,2.74170257099
5,23,2.74170257099
3,4,2.74170257099
5,14,2.74170257099
9,20,2.74170257099
11,15,2.74180721149
2,5,2.74180721149
1,18,2.74180721149
16,4,2.74180721149
5,22,2.74202541258
9,12,2.74202541258
10,12,3.41933889929
4,23,3.41933889929
17,6,3.41933889929
1,19,3.41933889929
10,20,3.41933889929
12,13,1.16525603238
0,22,1.16587337783
8,5,1.16605733926
10,11,1.16605733926
12,14,1.16605733926
20,22,1.1667855715
1,3,1.1667855715
17,4,1.1667855715
3,21,1.1667855715
0,3,1.1667855715
10,5,1.16653239017
2,7,1.16653239017
19,5,1.16653239017
3,20,1.16601198736
13,6,2.00899692226
6,23,0.781076659853
22,7,0.781076659853
20,7,0.781076659853
8,11,0.781124414022
8,19,0.781124414022
10,18,0.781118849386
0,7,0.781118849386
9,17,0.781118849386
8,17,0.781118849386
12,21,0.781118849386
0,20,0.781118849386
1,21,0.781118849386
16,17,0.781118849386
1,11,0.766020435515
5,7,0.766020435515
2,19,0.766020435515
10,13,0.766020435515
16,9,0.766020435515
17,3,0.920336479655
5,6,0.920336479655
1,5,0.944845054255
11,7,0.944845054255
8,2,0.944845054255
9,13,0.944845054255
3,19,0.944845054255
5,21,0.944779546815
10,15,0.944829932889
17,14,0.780735988248
18,14,0.780974637822
18,22,0.781663337048
4,7,0.781663337048
17,22,0.944706937236
0,9,0.944706937236
19,6,0.944706937236
10,6,0.944688306295
9,21,0.944651043862
4,22,0.944651043862
17,7,0.781448100136
11,14,0.781404564976
5,15,0.781404564976
0,10,0.781404564976
3,5,0.781404564976
4,14,0.781404564976
18,7,0.780887476173
2,20,0.780887476173
16,6,0.780877883627
1,13,0.780877883627
9,5,0.780919143684
0,2,0.780919143684
11,22,0.781050264385
13,21,0.781050264385
20,23,2.08696018755
2,12,2.08696018755
16,7,2.08694581372
17,5,2.11050297425
20,15,2.17198226633
0,15,2.36553315108
8,4,2.36553315108
9,4,2.36553315108
12,15,2.36553315108
12,6,2.36553315108
21,7,2.3655466797
18,19,2.36483020343
1,7,2.36483020343
11,5,2.36483020343
8,10,2.36483020343
23,15,2.36483020343
13,23,2.36483020343
13,14,2.36483020343
2,22,2.36490920586
0,21,1.88838383964
1,20,1.88838383964
3,15,1.88838383964
8,18,1.88838383964
10,19,1.88987222434
2,14,1.89045939276
18,3,1.89045939276
11,21,1.51335314877
8,16,1.51335314877
19,22,1.51335314877
18,15,1.51335314877
1,4,1.51335314877
4,21,1.51335314877
19,14,1.51311606448
4,6,1.51311606448
17,23,1.48510247044
8,13,1.48510247044
18,20,1.48510247044
19,21,1.48543064665
1,9,1.48543064665
5,13,1.48543064665
18,12,1.48543064665
2,11,1.58793125091
0,19,1.58789005871
9,6,1.58789005871
10,21,1.58934315875
0,14,1.58934315875
0,23,1.58944027878
10,4,1.5887537847
12,22,1.5887537847
1,14,1.5887537847
20,14,1.5887537847
21,23,1.58596587574
19,4,1.58629622918
21,14,1.58629622918
13,7,1.58629622918
3,12,1.58629622918
9,11,1.58629622918
16,21,1.58629622918
6,22,1.58629622918
16,1,1.58629622918
23,7,1.59008669303
3,23,1.59008669303
2,3,2.38457652465
16,13,2.38457652465
1,6,2.38457652465
22,15,2.38457652465
2,15,2.38457652465
3,22,1.60345624777
14,15,1.60345624777
0,1,1.57808747682
20,21,1.57808747682
0,12,1.57808747682
14,23,1.57808747682
0,4,1.57815872541
10,14,1.57815872541
17,15,1.57815872541
4,20,1.57815872541
10,22,2.700286528
9,15,2.700286528
0,11,2.7003944578
8,3,2.7003944578
4,12,2.7003944578
16,18,2.7003944578
17,2,2.7003944578
16,10,2.01643608028
16,19,1.35491963942
11,6,1.35488179923
18,23,1.35488179923
9,2,1.35488179923
17,13,1.35488179923
8,21,1.35488179923
0,18,1.35488179923
16,11,1.35471166715
17,12,1.35471166715
8,1,1.39330708569
10,7,1.38956836375
17,20,1.38956836375
4,15,1.38956836375
0,17,1.38956836375
1,10,1.19308321843
8,7,1.19333014539
19,20,1.73447362284
8,6,1.73449113237
19,12,1.73449113237
9,7,1.73435795779
11,13,1.73442994261
3,7,1.73442994261
0,13,1.73440415213
1,23,2.08332531896
2,21,2.08332531896
15,7,2.08332531896
3,6,2.08332531896
20,13,1.16361085705
1,2,1.16361085705
2,6,1.16361085705
18,11,1.16361085705
16,20,1.16361085705
0,16,1.16385654061
18,4,1.16385654061
17,11,1.16385654061
16,12,1.1638262799
14,7,1.1638262799
17,19,1.1638262799
21,6,1.1638262799
9,10,1.16368455485
12,7,1.16376131139
0,6,1.16376131139
9,19,1.16376131139
17,10,1.1833866516
12,20,1.1833866516
14,22,1.1833866516
11,4,1.1833866516
17,18,1.16364109122
2,23,1.16580209044
9,3,1.16580209044
11,12,1.16580209044
19,13,1.39087538339
2,10,1.39010683698
11,20,1.39010683698
9,22,1.39010683698
18,13,1.39005577972
8,14,1.38996486067
8,23,1.38996486067
9,14,1.38994180698
8,22,1.38994180698
8,12,1.38994180698
17,21,1.38994180698
1,17,1.38994180698
19,7,3.75833355742
8,20,3.75833355742
18,21,3.75833355742
3,11,3.75833355742
0,8,3.75833355742
4,13,3.75799668281
18,6,3.75799668281
16,5,3.75799668281
11,23,3.75799668281
2,4,3.75831509092
6,15,3.75831509092
1,22,3.75831509092
18,5,3.75831509092
11,19,3.75847691337
21,22,3.75847691337
12,23,3.75847691337
6,14,3.75847691337
21,15,3.75847691337
1,15,3.75847691337
3,14,3.75847691337
